package	version	architecture	apt_mark	category	rebuild_profile	direct_or_dependency	component_or_feature	reason	evidence	confidence	notes
7zip	25.01+dfsg-1~deb13u2	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: p7zip, p7zip-full.	medium	parents=p7zip,p7zip-full
about-this-pi-forma	0.1.0	arm64	manual	local-deb	core	direct	local PiForma app	Locally built PiForma Debian package installed outside configured APT repositories.	dpkg installed package; live services or launchers reference PiForma local apps.	high	none
accountsservice	23.13.9-7	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: rpd-common, rpd-wayland-core, rpd-x-core.	medium	parents=rpd-common,rpd-wayland-core,rpd-x-core
acl	2.3.2-2+b1	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: wayvnc.	medium	parents=wayvnc
adduser	3.152	all	manual	optional-utility	optional	direct	manual utility or application	Manually marked package preserved as installed state; functional role separate from APT mark.	Manual APT mark; no package-changing action authorized.	low	none
adwaita-icon-theme	48.1-1	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: libgtk-3-0t64:arm64, appmenu-gtk3-module:arm64, chromium.	medium	parents=libgtk-3-0t64:arm64,appmenu-gtk3-module:arm64,chromium
adwaita-icon-theme-legacy	46.2-2	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
agnostics	1.6	arm64	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
alacarte	3.56.0-2+rpt2	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
alsa-topology-conf	1.2.5.1-3	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
alsa-ucm-conf	1.2.14-1	all	auto	dependency	unknown	dependency	installed dependency	Automatically marked dependency; automatic mark does not imply safe to remove.	Nearest installed parent/root packages: not identified within dependency search depth.	low	parents=
